省辖市代码,省份,年份,地区生产总值 (亿元),第一产业增加值 (亿元),第二产业增加值 (亿元),第三产业增加值 (亿元),农林牧渔业增加值 (亿元),工业增加值 (亿元),建筑业增加值 (亿元),批发和零售业增加值 (亿元),交通运输、仓储和邮政业增加值 (亿元),住宿和餐饮业增加值 (亿元),金融业增加值 (亿元),房地产业增加值 (亿元),其他行业增加值 (亿元),人均地区生产总值 (元/人)
110000000000,北京市,2025,,,,,,,,,,,,,,238705.0
110000000000,北京市,2024,49843.1,116.4,7226.8,42499.9,117.9,5937.6,1414.3,3078.5,1240.3,442.7,8154.2,4933.0,24524.8,228167.0
110000000000,北京市,2023,47353.7,115.1,6893.8,40344.8,116.5,5647.8,1341.3,3128.8,1122.4,451.0,7593.7,4895.6,23056.6,216722.0
110000000000,北京市,2022,45222.4,111.5,6960.4,38150.6,113.1,5655.1,1390.7,3139.7,945.7,374.2,7539.7,5035.3,21029.0,206826.0
110000000000,北京市,2021,44350.7,111.4,7732.2,36507.1,113.4,6356.3,1467.6,3153.1,953.2,434.7,7310.9,4920.6,19640.9,202607.0
110000000000,北京市,2020,38503.6,108.3,5899.8,32495.5,110.7,4519.0,1455.4,2857.5,875.4,364.6,6804.1,4461.0,17056.0,175856.0
110000000000,北京市,2019,37767.0,114.4,5812.9,31839.7,116.9,4402.8,1460.3,2876.0,1024.7,542.8,6373.1,4591.5,16379.0,172373.0
110000000000,北京市,2018,35161.4,120.6,5477.4,29563.5,122.6,4139.9,1387.8,2824.1,1019.5,515.3,5951.3,4395.7,14805.3,160335.0
110000000000,北京市,2017,31325.9,121.9,5049.4,26154.6,124.3,3885.9,1210.9,2703.7,904.1,470.4,5299.6,3738.5,12988.6,142715.0
110000000000,北京市,2016,28438.7,129.8,4665.8,23643.2,132.2,3635.5,1074.5,2544.3,793.4,447.0,4784.7,3531.6,11495.6,129739.0
120000000000,天津市,2025,,,,,,,,,,,,,,135972.0
120000000000,天津市,2024,18024.3,284.3,6214.3,11525.8,296.3,5738.7,615.9,1461.5,951.8,204.0,2564.8,1062.9,5128.3,132143.0
120000000000,天津市,2023,17211.8,270.5,6080.6,10860.8,281.7,5618.7,589.1,1467.4,907.7,194.0,2393.3,1081.9,4677.9,126232.0
120000000000,天津市,2022,16588.5,273.2,6092.7,10222.7,283.8,5555.3,608.8,1420.2,883.0,151.4,2347.5,1029.3,4309.4,121261.0
120000000000,天津市,2021,16093.2,265.9,5780.5,10046.8,276.0,5235.6,653.0,1447.2,828.7,161.1,2283.3,1095.9,4112.3,116618.0
120000000000,天津市,2020,14230.8,210.3,4966.6,9053.8,218.3,4395.9,656.5,1317.5,745.7,137.7,2150.6,1010.6,3597.9,102675.0
120000000000,天津市,2019,14097.2,185.4,5016.9,8894.9,191.8,4456.8,673.6,1365.6,758.5,178.0,1939.9,1113.9,3419.1,101858.0
120000000000,天津市,2018,13411.1,175.3,4835.3,8400.5,181.0,4276.9,674.1,1345.2,753.5,157.9,1838.4,1143.4,3040.7,96034.0
120000000000,天津市,2017,12468.2,169.0,4564.1,7735.2,174.0,3942.5,704.0,1313.6,734.2,147.2,1731.8,1139.7,2581.4,87404.0
120000000000,天津市,2016,11487.0,168.5,4368.0,6950.6,174.6,3773.0,710.8,1199.1,693.1,123.0,1558.6,1084.3,2170.5,79716.0
130000000000,河北省,2025,,,,,,,,,,,,,,66936.0
130000000000,河北省,2024,47526.9,4522.3,17470.5,25534.1,4876.0,14908.5,2648.1,4242.3,3566.5,506.9,3310.1,2675.1,10793.3,64352.0
130000000000,河北省,2023,45660.0,4463.0,17112.2,24084.8,4788.5,14609.5,2557.0,3924.6,3501.2,481.2,3110.9,2682.3,10004.9,61649.0
130000000000,河北省,2022,43198.3,4408.4,16406.7,22383.3,4700.8,14123.7,2338.7,3609.3,3197.6,403.9,2943.7,2542.3,9338.2,58109.0
130000000000,河北省,2021,41205.4,4029.3,16450.8,20725.3,4288.3,14216.8,2287.2,3306.6,3188.0,416.4,2847.4,2596.2,8058.6,55265.0
130000000000,河北省,2020,36821.5,3880.4,13938.0,19003.1,4113.2,11813.5,2166.9,2983.5,2831.8,350.0,2605.8,2584.7,7372.0,49388.0
130000000000,河北省,2019,35623.5,3518.4,13600.9,18504.2,3727.5,11474.3,2164.2,2949.8,2904.6,403.7,2434.1,2528.1,7037.2,47904.0
130000000000,河北省,2018,32947.0,3338.6,12904.1,16704.3,3522.3,10930.3,2007.9,2722.3,2625.7,354.8,2220.9,2391.9,6170.9,44418.0
130000000000,河北省,2017,31065.5,3130.0,12778.0,15157.5,3298.3,11015.7,1796.8,2553.3,2559.9,330.5,2039.9,2308.6,5162.6,42026.0
130000000000,河北省,2016,28879.7,3082.5,12332.3,13464.9,3235.1,10755.9,1610.1,2290.0,2427.1,297.2,1720.0,2058.1,4486.3,39239.0
140000000000,山西省,2025,,,,,,,,,,,,,,74223.0
140000000000,山西省,2024,25494.7,1392.5,11021.5,13080.7,1477.8,9887.0,1189.0,1779.5,1427.8,355.0,1520.2,1277.5,6580.8,73769.0
140000000000,山西省,2023,26050.8,1365.2,11940.1,12745.5,1447.0,10800.0,1190.6,1807.0,1470.4,335.4,1391.1,1337.3,6271.9,74999.0
140000000000,山西省,2022,25653.2,1335.3,12667.1,11650.9,1411.7,11500.9,1210.4,1774.6,1297.6,271.1,1360.5,1209.3,5617.1,73705.0
140000000000,山西省,2021,23087.8,1286.7,10892.5,10908.6,1357.5,9790.4,1139.1,1668.7,1284.2,263.0,1291.2,1255.3,5038.4,66249.0
140000000000,山西省,2020,18202.7,1166.6,7440.2,9595.9,1232.0,6458.8,1005.3,1380.2,1093.1,202.2,1192.2,1211.1,4427.9,52105.0
140000000000,山西省,2019,17311.0,825.3,7402.9,9082.7,875.5,6481.9,934.6,1377.2,1047.9,220.9,1133.4,1173.0,4066.6,49467.0
140000000000,山西省,2018,16153.1,740.8,7074.5,8337.9,788.4,6260.2,819.9,1328.3,990.7,193.5,1081.1,1126.5,3564.6,46073.0
140000000000,山西省,2017,14679.1,719.2,6635.3,7324.6,764.1,5887.3,752.9,1148.5,859.1,176.8,965.1,1064.8,3060.7,41791.0
140000000000,山西省,2016,12160.1,724.3,5113.6,6322.2,766.8,4441.2,676.6,1108.1,750.5,165.8,909.3,852.8,2488.9,34580.0
150000000000,内蒙古自治区,2025,,,,,,,,,,,,,,112181.0
150000000000,内蒙古自治区,2024,26314.6,2872.6,11604.4,11837.6,2945.9,10002.3,1641.8,2083.8,1582.7,395.5,946.6,1031.7,5684.2,110011.0
150000000000,内蒙古自治区,2023,25020.5,2644.2,11130.4,11245.8,2712.1,9658.4,1505.0,1941.6,1538.3,376.7,909.7,1046.9,5331.7,104317.0
150000000000,内蒙古自治区,2022,23795.7,2655.1,10916.8,10223.9,2711.5,9558.8,1394.6,1796.8,1358.3,305.4,881.3,999.9,4789.1,99128.0
150000000000,内蒙古自治区,2021,21584.8,2354.6,9646.5,9583.6,2388.6,8360.0,1318.5,1691.9,1291.6,345.4,845.0,967.4,4376.3,89880.0
