省辖市代码,省份,年份,焦炭产量 (万吨),原油产量 (万吨),汽油产量 (万吨),煤油产量 (万吨),柴油产量 (万吨),燃料油产量 (万吨),天然气产量 (亿立方米),发电量 (亿千瓦时),水力发电量 (亿千瓦时),火力发电量 (亿千瓦时)
110000000000,北京市,2025,,,,,,,,,,
110000000000,北京市,2024,,,201.51,146.51,138.14,0.51,1.2,455.64,9.44,429.52
110000000000,北京市,2023,,,210.31,120.54,153.71,2.67,1.22,471.55,8.41,447.32
110000000000,北京市,2022,0.0,0.0,201.68,76.15,169.55,1.06,8.0,467.09,9.43,443.57
110000000000,北京市,2021,0.0,0.0,227.31,106.33,139.96,3.59,4.28,472.57,13.66,448.68
110000000000,北京市,2020,,,208.55,103.06,160.41,4.82,19.98,457.47,11.46,436.09
110000000000,北京市,2019,,,285.45,191.3,173.11,0.72,29.73,464.09,10.19,445.71
110000000000,北京市,2018,,,276.21,187.57,159.77,4.16,17.28,450.45,9.91,434.33
110000000000,北京市,2017,,,273.67,190.77,169.84,3.89,15.41,388.4,11.32,372.25
110000000000,北京市,2016,,,267.26,149.79,189.57,2.79,21.68,434.39,12.29,417.76
120000000000,天津市,2025,,,,,,,,,,
120000000000,天津市,2024,141.93,3998.66,359.41,236.17,192.39,118.64,45.42,879.95,0.14,763.57
120000000000,天津市,2023,169.9,3769.12,382.59,194.85,310.41,92.56,41.67,837.45,0.11,766.83
120000000000,天津市,2022,157.21,3575.26,361.74,103.79,318.3,123.33,41.17,764.89,0.14,715.72
120000000000,天津市,2021,153.64,3407.02,415.85,127.48,244.0,24.28,39.02,799.73,0.21,761.85
120000000000,天津市,2020,175.36,3242.2,279.94,98.82,334.69,4.7,36.31,771.61,0.1,741.04
120000000000,天津市,2019,158.34,3111.89,291.18,209.52,464.93,2.07,34.9,732.98,0.12,706.6
120000000000,天津市,2018,164.72,3085.55,288.53,190.85,466.87,2.11,33.94,711.47,0.15,708.49
120000000000,天津市,2017,157.71,3102.42,251.95,172.09,467.73,0.64,21.5,611.0,0.07,603.41
120000000000,天津市,2016,204.78,3273.26,229.06,125.62,450.88,2.67,19.69,617.55,0.03,611.51
130000000000,河北省,2025,,,,,,,,,,
