省辖市代码,省份,年份,煤炭消费量 (万吨),焦炭消费量 (万吨),原油消费量 (万吨),汽油消费量 (万吨),煤油消费量 (万吨),柴油消费量 (万吨),燃料油消费量 (万吨),天然气消费量 (亿立方米),电力消费量 (亿千瓦小时)
110000000000,北京市,2025,,,,,,,,,
110000000000,北京市,2024,,,,,,,,,1389.41
110000000000,北京市,2023,,,,,,,,,1358.0
110000000000,北京市,2022,,,,,,,,,1281.0
110000000000,北京市,2021,,,,,,,,,1233.0
110000000000,北京市,2020,,,,,,,,,1140.0
110000000000,北京市,2019,182.8,,936.99,500.9,697.8,161.87,0.48,189.4,1166.0
110000000000,北京市,2018,276.19,0.01,911.78,493.6,691.03,178.78,1.54,187.88,1142.38
110000000000,北京市,2017,490.46,0.18,892.54,489.85,644.0,175.11,2.81,164.56,1066.89
110000000000,北京市,2016,847.62,0.21,821.0,470.37,594.27,172.69,4.64,162.31,1020.27
120000000000,天津市,2025,,,,,,,,,
120000000000,天津市,2024,,,,,,,,,1085.31
120000000000,天津市,2023,,,,,,,,,1051.0
120000000000,天津市,2022,,,,,,,,,991.0
120000000000,天津市,2021,,,,,,,,,982.0
120000000000,天津市,2020,,,,,,,,,875.0
120000000000,天津市,2019,3766.11,903.99,1693.35,284.46,110.58,316.92,50.0,110.61,878.0
120000000000,天津市,2018,3832.89,867.23,1688.23,273.65,108.92,326.06,46.99,104.03,855.14
120000000000,天津市,2017,3875.61,808.7,1624.85,273.47,101.5,352.32,40.68,83.31,805.59
120000000000,天津市,2016,4230.16,887.29,1433.6,274.49,82.02,370.35,45.33,74.53,807.93
130000000000,河北省,2025,,,,,,,,,
130000000000,河北省,2024,,,,,,,,,4986.67
130000000000,河北省,2023,,,,,,,,,4757.0
130000000000,河北省,2022,,,,,,,,,4344.0
130000000000,河北省,2021,,,,,,,,,4294.0
130000000000,河北省,2020,,,,,,,,,3934.0
130000000000,河北省,2019,28738.44,9371.81,2177.54,423.19,32.17,464.49,103.77,165.48,3856.0
130000000000,河北省,2018,29593.75,9341.63,1704.43,489.83,27.65,441.96,121.36,133.07,3665.66
130000000000,河北省,2017,27417.13,8040.78,1542.17,493.39,27.56,721.28,43.13,96.7,3441.74
130000000000,河北省,2016,28105.65,8079.49,1761.93,494.86,29.46,843.59,53.7,70.45,3264.52
140000000000,山西省,2025,,,,,,,,,
140000000000,山西省,2024,,,,,,,,,2971.75
140000000000,山西省,2023,,,,,,,,,2885.0
140000000000,山西省,2022,,,,,,,,,2721.0
140000000000,山西省,2021,,,,,,,,,2608.0
140000000000,山西省,2020,,,,,,,,,2342.0
140000000000,山西省,2019,51331.61,2526.53,,247.64,45.69,500.2,0.48,91.7,2262.0
140000000000,山西省,2018,48940.14,2385.72,,235.24,36.26,489.26,0.54,75.21,2160.53
140000000000,山西省,2017,42942.29,1958.74,,257.71,32.29,560.46,0.47,74.9,1990.61
140000000000,山西省,2016,35621.03,2198.1,,228.29,26.96,536.11,0.6,69.35,1797.18
150000000000,内蒙古自治区,2025,,,,,,,,,
150000000000,内蒙古自治区,2024,,,,,,,,,5193.41
