省辖市代码,省份,年份,互联网上网人数 (万人),域名数 (万个),网站数 (万个),网页数 (万个),互联网宽带接入端口 (万个),互联网拨号用户 (万户),互联网宽带接入用户 (万户),城市宽带接入用户 (万户),农村宽带接入用户 (万户),移动互联网用户 (万户),移动互联网接入流量 (万GB)
110000000000,北京市,2025,,,,,,,,,,,
110000000000,北京市,2024,,562.81,,14790897.73,2173.6,,992.1,911.1,81.1,3406.1,771121.67
110000000000,北京市,2023,,589.9,,14090056.7,2112.3,,933.4,855.6,77.8,3364.7,668029.5
110000000000,北京市,2022,,738.87,,13188570.02,2114.5,,877.3,802.7,74.6,3246.36,584496.08
110000000000,北京市,2021,,566.01,,12321699.18,2030.8,,806.3,713.2,93.0,3379.41,509995.64
110000000000,北京市,2020,,373.21,,11617791.66,2084.1,,747.3,652.9,94.4,3272.85,383027.39
110000000000,北京市,2019,,504.99,,11249165.1,2060.1,,688.1,626.3,61.8,3289.2,295127.4
110000000000,北京市,2018,,443.47,71.92,10695275.12,2059.9,,638.8,571.0,67.8,3291.13,181330.15
110000000000,北京市,2017,,537.46,70.56,9531606.14,1818.0,46.2,541.9,471.2,70.8,4639.72,78117.85
110000000000,北京市,2016,1690.0,645.74,60.93,8400646.47,1784.0,46.2,475.8,398.0,77.7,3594.04,33436.11
120000000000,天津市,2025,,,,,,,,,,,
120000000000,天津市,2024,,20.62,,657155.52,1578.3,,704.0,656.8,47.2,1710.9,386654.08
120000000000,天津市,2023,,20.7,,634426.7,1517.3,,673.4,628.9,44.5,1644.7,324323.9
120000000000,天津市,2022,,21.82,,597982.03,1420.4,,631.1,590.9,40.2,1572.08,289551.22
120000000000,天津市,2021,,30.28,,555770.55,1352.5,,584.5,524.8,59.8,1536.83,264964.3
120000000000,天津市,2020,,33.66,,522655.48,1254.6,,534.6,481.8,52.8,1488.82,189491.2
120000000000,天津市,2019,,33.41,,437772.55,1092.6,,523.6,479.5,44.1,1450.71,136299.25
120000000000,天津市,2018,,26.73,5.43,465062.92,897.4,,437.9,411.8,26.2,1352.46,79874.06
120000000000,天津市,2017,,26.5,5.82,467368.36,795.3,,339.3,325.0,14.4,1309.56,25341.76
120000000000,天津市,2016,999.0,35.38,5.12,367090.41,724.3,,283.9,276.1,7.8,1125.42,10100.27
130000000000,河北省,2025,,,,,,,,,,,
130000000000,河北省,2024,,79.7,,1545521.25,5558.4,,3345.7,2012.7,1332.9,8097.8,1416625.83
130000000000,河北省,2023,,53.0,,1468672.3,5480.5,,3179.7,1912.1,1267.6,7892.9,1205637.5
130000000000,河北省,2022,,55.59,,1368189.96,5321.7,,2992.6,1779.7,1212.8,7578.8,1072327.23
130000000000,河北省,2021,,81.31,,1277345.54,5012.5,,2796.9,1664.1,1132.8,7512.48,942519.9
130000000000,河北省,2020,,100.21,,1212179.39,4598.2,,2534.4,1495.4,1038.9,7103.97,721397.24
130000000000,河北省,2019,,138.39,,1116138.36,4345.8,,2359.7,1407.3,952.4,6915.15,547784.08
130000000000,河北省,2018,,86.81,12.27,1025297.93,4192.4,,2159.8,1302.2,857.5,6505.32,306648.36
