省辖市代码,省份,年份,企业数 (个),期末使用计算机数 (台),每百人使用计算机数 (台),企业拥有网站数 (个),每百家企业拥有网站数 (个),有电子商务交易活动的企业数 (个),有电子商务交易活动的企业数比重 (%),电子商务销售额 (亿元),电子商务采购额 (亿元)
110000000000,北京市,2025,,,,,,,,,
110000000000,北京市,2024,49504.0,5178636.0,80.0,22944.0,46.0,11528.0,,46980.2,25352.8
110000000000,北京市,2023,44193.0,5149193.0,78.0,23000.0,52.0,10415.0,23.6,42301.7,22713.0
110000000000,北京市,2022,40699.0,5290838.0,81.0,21786.0,54.0,10061.0,24.7,36792.5,21284.9
110000000000,北京市,2021,39461.0,5247349.0,80.0,22367.0,57.0,9263.0,23.5,31239.8,16856.2
110000000000,北京市,2020,38865.0,5032437.0,77.0,22366.0,58.0,8877.0,22.8,25831.8,15296.4
110000000000,北京市,2019,38309.0,4859824.0,72.0,22124.0,58.0,8516.0,22.2,23235.9,13420.5
110000000000,北京市,2018,31534.0,4581161.0,70.0,20286.0,64.0,6536.0,20.7,18261.2,10623.6
110000000000,北京市,2017,31778.0,4302114.0,67.0,20812.0,65.0,6028.0,19.0,18385.7,11055.8
110000000000,北京市,2016,31523.0,4033558.0,66.0,20305.0,64.0,5661.0,18.0,12026.7,9340.6
120000000000,天津市,2025,,,,,,,,,
120000000000,天津市,2024,29626.0,1197074.0,49.0,7552.0,25.0,2619.0,,8126.2,3920.4
120000000000,天津市,2023,26563.0,1177617.0,48.0,8377.0,32.0,2553.0,9.6,8267.5,4556.8
120000000000,天津市,2022,25506.0,1152505.0,45.0,8197.0,32.0,1982.0,7.8,6974.9,4385.8
120000000000,天津市,2021,23803.0,1136909.0,45.0,9194.0,39.0,1726.0,7.3,5403.4,2437.5
120000000000,天津市,2020,21134.0,1057711.0,43.0,8429.0,40.0,1441.0,6.8,4342.0,2404.0
120000000000,天津市,2019,19519.0,997752.0,39.0,8474.0,43.0,1420.0,7.3,3226.3,2346.4
120000000000,天津市,2018,16725.0,909710.0,37.0,7848.0,47.0,1103.0,6.6,3106.0,1906.3
120000000000,天津市,2017,17003.0,879740.0,37.0,8765.0,52.0,1122.0,6.6,2629.4,1766.4
120000000000,天津市,2016,18640.0,912195.0,33.0,9848.0,53.0,1575.0,8.4,3035.0,1434.8
130000000000,河北省,2025,,,,,,,,,
130000000000,河北省,2024,43022.0,1637523.0,37.0,14823.0,34.0,3671.0,,4056.8,1979.0
130000000000,河北省,2023,40506.0,1587107.0,35.0,16431.0,41.0,3955.0,9.8,3920.8,1979.6
130000000000,河北省,2022,39475.0,1568849.0,33.0,16989.0,43.0,2669.0,6.8,3524.8,2061.0
130000000000,河北省,2021,35616.0,1507875.0,32.0,17804.0,50.0,2677.0,7.5,3790.8,2265.5
130000000000,河北省,2020,31922.0,1429512.0,31.0,16370.0,51.0,2464.0,7.7,4402.3,1717.6
130000000000,河北省,2019,28751.0,1318998.0,28.0,15856.0,55.0,2044.0,7.1,2726.3,1926.0
130000000000,河北省,2018,29231.0,1261891.0,25.0,16362.0,56.0,1954.0,6.7,2556.1,1971.4
130000000000,河北省,2017,30453.0,1219415.0,21.0,17377.0,57.0,2106.0,6.9,2441.1,2842.6
130000000000,河北省,2016,29468.0,1120877.0,19.0,16748.0,57.0,2473.0,8.4,2416.1,1045.5
140000000000,山西省,2025,,,,,,,,,
140000000000,山西省,2024,28985.0,1031275.0,31.0,5376.0,19.0,2600.0,,6152.9,2148.7
140000000000,山西省,2023,27433.0,974350.0,29.0,5350.0,20.0,2337.0,8.5,6351.2,2206.3
140000000000,山西省,2022,25777.0,931616.0,28.0,6396.0,25.0,1498.0,5.8,5629.4,1768.9
140000000000,山西省,2021,23262.0,891839.0,27.0,6854.0,30.0,1529.0,6.6,3420.8,1619.0
140000000000,山西省,2020,18831.0,845635.0,26.0,6018.0,32.0,1222.0,6.5,2322.6,928.4
140000000000,山西省,2019,16109.0,777535.0,24.0,5472.0,34.0,972.0,6.0,2136.7,1342.9
140000000000,山西省,2018,14635.0,721306.0,23.0,5637.0,39.0,916.0,6.3,2450.2,922.1
140000000000,山西省,2017,13976.0,685530.0,22.0,5839.0,42.0,904.0,6.5,864.3,733.0
140000000000,山西省,2016,13761.0,667447.0,21.0,6204.0,45.0,1110.0,8.1,680.3,621.4
150000000000,内蒙古自治区,2025,,,,,,,,,
150000000000,内蒙古自治区,2024,13949.0,676091.0,40.0,3552.0,25.0,1521.0,,6194.2,2043.9
150000000000,内蒙古自治区,2023,12433.0,646400.0,38.0,3480.0,28.0,1386.0,11.1,5316.7,2198.4
150000000000,内蒙古自治区,2022,11498.0,608965.0,38.0,3575.0,31.0,921.0,8.0,4466.6,2863.8
150000000000,内蒙古自治区,2021,10762.0,561435.0,36.0,3984.0,37.0,804.0,7.5,3145.5,2845.3
150000000000,内蒙古自治区,2020,9903.0,528836.0,35.0,3776.0,38.0,683.0,6.9,2799.9,2013.7
150000000000,内蒙古自治区,2019,9753.0,510975.0,33.0,3699.0,38.0,583.0,6.0,2568.1,1631.3
150000000000,内蒙古自治区,2018,9317.0,486112.0,31.0,4111.0,44.0,571.0,6.1,1948.6,1258.3
150000000000,内蒙古自治区,2017,9649.0,473031.0,28.0,4940.0,51.0,630.0,6.5,1725.5,1074.9
150000000000,内蒙古自治区,2016,11383.0,491371.0,25.0,5706.0,50.0,861.0,7.6,1587.6,1026.9
210000000000,辽宁省,2025,,,,,,,,,
210000000000,辽宁省,2024,33151.0,1489540.0,44.0,9266.0,28.0,2759.0,,6954.6,3801.5
210000000000,辽宁省,2023,31568.0,1432853.0,40.0,10854.0,34.0,2730.0,8.6,7841.3,4025.1
210000000000,辽宁省,2022,29992.0,1444509.0,41.0,10995.0,37.0,1919.0,6.4,6702.4,3438.3
210000000000,辽宁省,2021,28657.0,1422367.0,40.0,12629.0,44.0,1686.0,5.9,4785.7,2870.6
210000000000,辽宁省,2020,27360.0,1391234.0,38.0,12305.0,45.0,1584.0,5.8,4326.0,2646.9
210000000000,辽宁省,2019,26500.0,1351250.0,36.0,12604.0,48.0,1455.0,5.5,4112.0,2570.3
210000000000,辽宁省,2018,24758.0,1301083.0,35.0,12282.0,50.0,1226.0,5.0,3638.4,2264.2
210000000000,辽宁省,2017,24545.0,1273499.0,32.0,13181.0,54.0,1149.0,4.7,2601.5,1135.0
210000000000,辽宁省,2016,24964.0,1199429.0,28.0,13540.0,54.0,1453.0,5.8,2125.1,1058.3
220000000000,吉林省,2025,,,,,,,,,
220000000000,吉林省,2024,13240.0,564773.0,43.0,3407.0,26.0,1018.0,,1322.6,1226.5
220000000000,吉林省,2023,12758.0,560264.0,40.0,3864.0,30.0,964.0,7.6,1250.9,1247.3
220000000000,吉林省,2022,12605.0,556917.0,40.0,4216.0,33.0,603.0,4.8,608.9,331.2
220000000000,吉林省,2021,11996.0,527606.0,37.0,4639.0,39.0,673.0,5.6,587.1,349.0
