,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,0.01464385169151301,0.020868341551289218,0.02690432227469034,0.019945098264971293,0.01729065239693041,0.0300537057280628,0.017893590737370353,0.07041776995577805,0.039656784924471215,0.026093988809560948,0.023694594660902797,0.01796811664420895,0.00879007192931327,0.10648680673136841,0.04702727713673256,0.029011351605508325,0.03461755410758121,0.17509216612913958,0.017174546037721866,0.04177353677808307,0.03230709529491839,0.016727889029205814,0.04696957892201291,0.018823922763980754,0.024155507329011096,0.019913355817987036,0.02352315794025927,0.015040070512187375,0.017135294295239793
云南,0.02252418931630712,0.0,0.022714863569146353,0.021154334655332185,0.015106489996856345,0.07018213601846705,0.021350869264728,0.02884168946179476,0.027519166207718177,0.023466348713192874,0.02594738247820002,0.04045606618115324,0.07061457353535583,0.01770939264567746,0.025216760056851566,0.03236920288488887,0.024215303854692973,0.029344797040158122,0.024380369593595873,0.04596491396278263,0.03409433918028435,0.041047467310050406,0.035913500700098334,0.026503629829868213,0.10141932044355217,0.016576973972217163,0.0701307349152638,0.036937311170360636,0.034230372951053606,0.014067500090351882
内蒙古,0.02302363628240397,0.01629304530889877,0.0,0.07800588644749996,0.027263938738976385,0.023761443174759426,0.06314850412484786,0.05867863357669113,0.028462982953337226,0.048313917143437426,0.09470374852553222,0.016066655509120273,0.015631839047467976,0.01579400787285296,0.02735169711318616,0.022632772716026726,0.08173917116267121,0.04561664902235496,0.022734330405389976,0.013674048854686522,0.027318782830573967,0.022565669406261573,0.03641295492129536,0.017795993853382423,0.01920081042062208,0.03233531277349402,0.023687718980578167,0.04158672762837884,0.032213140639340054,0.02398598056593237
北京,0.022944402026271623,0.011728979047708261,0.06029705262095027,0.0,0.028597304018346294,0.016062625867377823,0.21518203491157067,0.027500542970995478,0.027153255189843593,0.06672261519332151,0.06072833687271325,0.012966713561325154,0.011972875819370798,0.010157315692425681,0.027264115412496525,0.01960885326681526,0.09267557391299033,0.03924864572333978,0.02182830394255294,0.010712572396027992,0.023262128177382872,0.01831992919772496,0.020730160698472746,0.015688251609061787,0.014140545579729293,0.03904321780745595,0.01678990439915086,0.02704712301850052,0.018457266853150456,0.02316935421292727
吉林,0.028595985904447004,0.014081165870488934,0.03543002930803192,0.04807721469242306,0.0,0.017311207065897317,0.048052718961052246,0.024216718051563925,0.0272675422409071,0.03894560843953664,0.03268578983104368,0.01613601441322394,0.014679752062039666,0.013726788382929364,0.02887277094516309,0.021877926061012843,0.037048103032047836,0.0289440249343629,0.026191851078012158,0.013769278555745234,0.023376046658582304,0.020032572657906523,0.020404876697910992,0.020117733038844125,0.01618433882500485,0.15151629727972726,0.017940638208970138,0.023416809331209536,0.019200665384273147,0.1718995320876422
四川,0.020543833908639886,0.054212926284787764,0.025589214217994056,0.022378551474081496,0.014345925540280106,0.0,0.022377750486400852,0.03782186302742416,0.027106267656178004,0.024667515202249655,0.030340315392222404,0.027717092508475646,0.0354636836862548,0.0165426083846921,0.024232492028909283,0.029453397456482927,0.02692743603658015,0.033867397831699515,0.022135495886918558,0.02563043404354706,0.03482107080214338,0.037999976138705364,0.05588111894408532,0.021720177101399347,0.06641145551066543,0.01600346306930569,0.12915596453773007,0.05501939258942686,0.04841445118066722,0.013218729072052954
天津,0.024904737436343177,0.011502855176028734,0.04743086286762307,0.20909096204595906,0.027773653313780722,0.015607388811851934,0.0,0.024980530265920956,0.029462109961535563,0.08793024052192838,0.05575592583824989,0.013126878064678767,0.011940820864616052,0.009492037508444993,0.029961855783456975,0.020456277464008257,0.09100452779052806,0.041203168393538735,0.02345782105168941,0.010718608865541046,0.02427355166879784,0.01874395771002821,0.019433712953518773,0.016301262251813612,0.0140113120737032,0.039157050849842015,0.01653485672655463,0.02629090929681749,0.017245298120696084,0.0222068263225042
宁夏,0.02090898741409995,0.021911007658623933,0.06214833723496149,0.037680970758033575,0.019737034156934938,0.037197033302700744,0.03522517963207928,0.0,0.026993991725319678,0.03421966574220644,0.060308921332063406,0.018300341529073363,0.01912796006368453,0.020187051989046332,0.024962565681358385,0.023852477533292647,0.04637368204210189,0.043035767825820005,0.021420400546500715,0.016045143101598113,0.029259028494226295,0.025834580088572232,0.09762766206554903,0.01820051513804307,0.025325952719241707,0.02229512158082778,0.03379888120396397,0.06443459065926625,0.07555024989688733,0.018036898883923104
安徽,0.057562969291984366,0.01462521788822819,0.021088969264783302,0.026027241087831155,0.015546692956054474,0.018649213805925793,0.029063025916056265,0.018883936439194202,0.0,0.04369328886570334,0.029471195344444288,0.02252136417112743,0.017666316429609176,0.008092967147564297,0.15597464339053668,0.06294077741370545,0.03192385575876356,0.05028684234837253,0.07187026794709331,0.01584214539821005,0.07582082429143876,0.04086864299877023,0.017761402717838846,0.035041932502697055,0.019988765510909376,0.018942226171981866,0.02234057629251026,0.028586668890187697,0.015492875818932909,0.013425153939545091
山东,0.03545376367450844,0.01363943927136082,0.03914994119320084,0.06994605363446285,0.02428479505188323,0.01856094709430959,0.09486350500806215,0.026180932157001104,0.0477857777300934,0.0,0.06017701654646663,0.01657923875678401,0.0146434351622997,0.009829477169716055,0.04815065813214894,0.02871744094087425,0.09217727259843657,0.06755511019267453,0.03372402109096203,0.013072120072159972,0.035546031113868684,0.025288558688381084,0.02154866518285764,0.021501023518151006,0.01723245986814833,0.03251625866603721,0.020381077442792536,0.032765425225230266,0.018772906494834526,0.019956648322293748
