province,longitude,latitude
上海,121.4737,31.2304
云南,102.7123,25.0406
内蒙古,111.7656,40.8175
北京,116.4074,39.9042
吉林,125.3235,43.8171
四川,104.0665,30.5723
天津,117.2009,39.0841
宁夏,106.2309,38.4872
安徽,117.2272,31.8206
山东,117.1201,36.6512
山西,112.5489,37.8706
广东,113.2644,23.1291
广西,108.3661,22.8172
新疆,87.6168,43.7928
江苏,118.7969,32.0603
江西,115.858,28.682
河北,114.5025,38.0455
河南,113.6253,34.7466
浙江,120.1528,30.2886
海南,110.3295,20.0174
湖北,114.3054,30.5928
湖南,112.9388,28.2282
甘肃,103.8263,36.0594
福建,119.2965,26.0745
贵州,106.7135,26.579
辽宁,123.4315,41.8057
重庆,106.5516,29.563
陕西,108.9398,34.3416
青海,101.7782,36.6171
黑龙江,126.6425,45.757
